10-02-2024 22:17:00.569 INFO: Incoming request | #1 | resource: /todo/content | HTTP Verb GET | request #1
10-02-2024 22:17:36.353 INFO: Incoming request | #2 | resource: /todo/size | HTTP Verb GET | request #2
10-02-2024 22:17:36.674 INFO: Incoming request | #3 | resource: /todo/size | HTTP Verb GET | request #3
10-02-2024 22:17:36.787 INFO: Incoming request | #4 | resource: /todo | HTTP Verb POST | request #4
10-02-2024 22:17:36.831 INFO: Incoming request | #5 | resource: /todo/size | HTTP Verb GET | request #5
10-02-2024 22:17:36.870 INFO: Incoming request | #6 | resource: /todo/size | HTTP Verb GET | request #6
10-02-2024 22:17:36.914 INFO: Incoming request | #7 | resource: /todo/size | HTTP Verb GET | request #7
10-02-2024 22:17:36.951 INFO: Incoming request | #8 | resource: /todo | HTTP Verb PUT | request #8
10-02-2024 22:17:37.162 INFO: Incoming request | #9 | resource: /todo/size | HTTP Verb GET | request #9
10-02-2024 22:17:37.199 INFO: Incoming request | #10 | resource: /todo/size | HTTP Verb GET | request #10
10-02-2024 22:17:37.246 INFO: Incoming request | #11 | resource: /todo | HTTP Verb POST | request #11
10-02-2024 22:17:37.628 INFO: Incoming request | #12 | resource: /todo/content | HTTP Verb GET | request #12
10-02-2024 22:17:37.677 INFO: Incoming request | #13 | resource: /todo/content | HTTP Verb GET | request #13
10-02-2024 22:17:37.725 INFO: Incoming request | #14 | resource: /todo | HTTP Verb DELETE | request #14
10-02-2024 22:17:37.811 INFO: Incoming request | #15 | resource: /todo/size | HTTP Verb GET | request #15
10-02-2024 22:17:37.853 INFO: Incoming request | #16 | resource: /todo/size | HTTP Verb GET | request #16
